Method,16,32,64,128,256,512,1024
python,629.3,155.0,37.3,9.1,2.1,0.5,0.1
asm,58661.6,17405.2,4397.7,1088.5,243.1,58.0,13.4
c,78603.9,22248.6,5091.3,1186.9,261.5,61.0,14.1
c_avx,82695.3,23736.9,5697.9,1335.2,296.9,68.7,15.3
numpy,19689.7,12918.3,5707.2,1617.4,380.6,85.4,15.8
